Bank_Txn_ID,Settlement_ID,Date,Amount
BNK_0085,SET_0085,2026-08-03,50619.17
BNK_0087,SET_0087,2026-08-11,81296.73
BNK_0088,SET_0088,2026-08-20,30479.12
BNK_0090,SET_0090,2026-08-22,88061.0
BNK_0091,SET_0091,2026-08-17,19443.25
BNK_0092,SET_0092,2026-08-11,60762.87
BNK_0093,SET_0093,2026-08-05,71481.11
BNK_0094,SET_0094,2026-08-22,33286.92
BNK_0095,SET_0095,2026-08-21,70282.15
BNK_0096,SET_0096,2026-08-21,10201.77
BNK_0097,SET_0097,2026-08-19,77355.53
BNK_0098,SET_0098,2026-08-21,53661.45
BNK_0099,SET_0099,2026-08-16,42364.549999999996
BNK_0100,SET_0100,2026-08-18,37445.03
BNK_0101,SET_0101,2026-08-17,15456.07
BNK_0102,SET_0102,2026-08-14,112364.56
BNK_0103,SET_0103,2026-08-16,11736.75
BNK_0104,SET_0104,2026-08-27,88883.33
BNK_0105,SET_0105,2026-08-20,20174.86
BNK_0106,SET_0106,2026-08-18,19121.63
BNK_0107,SET_0107,2026-08-08,39920.39
BNK_0108,SET_0108,2026-08-05,30556.57
BNK_0109,SET_0109,2026-08-23,97199.59
BNK_0110,SET_0110,2026-08-19,83277.11
BNK_0111,SET_0111,2026-08-18,32557.8
BNK_0112,SET_0112,2026-08-15,26794.890000000003
BNK_0113,SET_0113,2026-08-11,90666.55
BNK_0114,SET_0114,2026-08-19,35133.05
BNK_0115,SET_0115,2026-08-17,97785.43
BNK_0116,SET_0116,2026-08-20,-58990.78
BNK_0118,SET_0118,2026-08-21,47854.41
BNK_0119,SET_0119,2026-08-13,87593.82
BNK_0120,SET_0120,2026-08-23,113532.72
BNK_0121,SET_0121,2026-08-07,60962.7
BNK_0122,SET_0122,2026-08-06,101818.82
BNK_0123,SET_0123,2026-08-19,-105801.3
BNK_0124,SET_0124,2026-08-16,101460.95
BNK_0125,SET_0125,2026-08-18,91638.8
BNK_0126,SET_0126,2026-08-22,81951.62
BNK_0127,SET_0127,2026-08-20,47529.07
BNK_0128,SET_0128,2026-08-20,9725.79
BNK_0129,SET_0129,2026-08-23,80968.77
BNK_0130,SET_0130,2026-08-05,53457.24
BNK_0131,SET_0131,2026-08-17,24058.5
BNK_0132,SET_0132,2026-08-04,41417.15
BNK_0133,SET_0133,2026-08-14,46961.29
BNK_0134,SET_0134,2026-08-19,-51049.19
BNK_0135,SET_0135,2026-08-08,14457.3
BNK_0136,SET_0136,2026-08-18,106063.58
BNK_0137,SET_0137,2026-08-17,75860.93
BNK_0138,SET_0138,2026-08-03,104534.3
BNK_0139,SET_0139,2026-08-28,23136.88
BNK_0140,SET_0140,2026-08-23,111468.59
BNK_0141,SET_0141,2026-08-12,27667.58
BNK_0143,SET_0143,2026-08-21,38285.95
BNK_0144,SET_0144,2026-08-15,35935.87
BNK_0145,SET_0145,2026-08-22,87645.11
BNK_0146,SET_0146,2026-08-22,93880.65
BNK_0147,SET_0147,2026-08-22,33396.04
BNK_0148,SET_0148,2026-08-23,10112.88
BNK_0149,SET_0149,2026-08-21,45864.93
BNK_0150,SET_0150,2026-08-12,41674.72
BNK_0151,SET_0151,2026-08-09,20300.81
BNK_0152,SET_0152,2026-08-19,60908.17
BNK_0154,SET_0154,2026-08-13,94133.38
BNK_0155,SET_0155,2026-08-15,88631.57
BNK_0156,SET_0156,2026-08-05,92644.74
BNK_0157,SET_0157,2026-08-20,19359.21
BNK_0158,SET_0158,2026-08-21,47640.7
BNK_0160,SET_0160,2026-08-22,30100.95
BNK_0161,SET_0161,2026-08-12,77106.15
BNK_0162,SET_0162,2026-08-04,109736.4
BNK_0163,SET_0163,2026-08-06,16459.32
BNK_0164,SET_0164,2026-08-15,55618.4
BNK_0165,SET_0165,2026-08-25,87326.19
BNK_0166,SET_0166,2026-08-22,50616.79
BNK_0167,SET_0167,2026-08-14,29650.81
BNK_0168,SET_0168,2026-08-14,16696.9
BNK_0169,SET_0169,2026-08-04,49610.630000000005
BNK_0170,SET_0170,2026-08-17,15763.19
BNK_0171,SET_0171,2026-08-13,32540.0
BNK_0172,SET_0172,2026-08-05,96944.12
BNK_0173,SET_0173,2026-08-21,29560.86
BNK_0174,SET_0174,2026-08-22,6093.51
BNK_0175,SET_0175,2026-08-20,33318.37
BNK_0176,SET_0176,2026-08-03,20261.65
BNK_0177,SET_0177,2026-08-21,41350.88
BNK_0178,SET_0178,2026-08-04,19707.44
BNK_0179,SET_0179,2026-08-05,58091.840000000004
BNK_0180,SET_0180,2026-08-10,109643.48
BNK_0181,SET_0181,2026-08-17,76458.11
BNK_0182,SET_0182,2026-08-18,98864.52
BNK_0183,SET_0183,2026-08-18,84044.98
BNK_0184,SET_0184,2026-08-05,41168.56
BNK_0185,SET_0185,2026-08-07,35970.88
BNK_0186,SET_0186,2026-08-22,64067.91
BNK_0187,SET_0187,2026-08-06,92909.95
BNK_0188,SET_0188,2026-08-16,55388.92
BNK_0189,SET_0189,2026-08-13,96680.63
BNK_0190,SET_0190,2026-08-06,40117.94
BNK_0191,SET_0191,2026-08-17,110541.77
BNK_0192,SET_0192,2026-08-05,53227.09
BNK_0193,SET_0193,2026-08-20,12371.38
BNK_0194,SET_0194,2026-08-06,50912.62
BNK_0195,SET_0195,2026-08-12,71741.85
BNK_0196,SET_0196,2026-08-21,61525.32
BNK_0197,SET_0197,2026-08-10,98861.92
BNK_0198,SET_0198,2026-08-06,89560.34
BNK_0199,SET_0199,2026-08-16,98629.05
BNK_0200,SET_0200,2026-08-22,107785.42
BNK_0201,SET_0201,2026-08-12,107020.26
BNK_0202,SET_0202,2026-08-08,101343.38
BNK_0203,SET_0203,2026-08-12,21368.07
BNK_0204,SET_0204,2026-08-15,-51903.97
BNK_0205,SET_0205,2026-08-14,40017.86
BNK_0206,SET_0206,2026-08-04,-22873.7
BNK_0207,SET_0207,2026-08-05,35674.68
BNK_0208,SET_0208,2026-08-22,54344.1
BNK_0209,SET_0209,2026-08-19,18285.76
BNK_0210,SET_0210,2026-08-12,80289.67
BNK_0211,SET_0211,2026-08-27,79071.85
BNK_0212,SET_0212,2026-08-04,6679.96
BNK_0214,SET_0214,2026-08-18,87847.47
BNK_0215,SET_0215,2026-08-15,-64290.43
BNK_0216,SET_0216,2026-08-09,49403.45
BNK_0217,SET_0217,2026-08-05,100491.68
BNK_0220,SET_0220,2026-08-22,56327.33
BNK_0221,SET_0221,2026-08-16,98555.36
BNK_0222,SET_0222,2026-08-21,49774.61
BNK_0223,SET_0223,2026-08-12,87714.63
BNK_0224,SET_0224,2026-08-14,14172.89
BNK_0225,SET_0225,2026-08-23,95320.34
BNK_0226,SET_0226,2026-08-07,-33902.16
BNK_0227,SET_0227,2026-08-23,14060.16
BNK_0228,SET_0228,2026-08-21,89260.59
BNK_0229,SET_0229,2026-08-23,40512.38
BNK_0230,SET_0230,2026-08-18,54362.1
BNK_0231,SET_0231,2026-08-21,11952.95
BNK_0232,SET_0232,2026-08-12,56481.86
BNK_0233,SET_0233,2026-08-12,14211.52
BNK_0234,SET_0234,2026-08-17,69617.63
BNK_0235,SET_0235,2026-08-21,77391.56
BNK_0236,SET_0236,2026-08-23,22355.29
BNK_0237,SET_0237,2026-08-05,61210.75
BNK_0238,SET_0238,2026-08-10,83519.9
BNK_0239,SET_0239,2026-08-14,46742.78
BNK_0240,SET_0240,2026-08-16,90863.15
BNK_0241,SET_0241,2026-08-23,76812.56999999999
BNK_0242,SET_0242,2026-08-15,36997.81
BNK_0243,SET_0243,2026-08-13,14735.64
BNK_0244,SET_0244,2026-08-12,112091.2
BNK_0245,SET_0245,2026-08-22,83653.08
BNK_0246,SET_0246,2026-08-20,47163.24
BNK_0247,SET_0247,2026-08-19,16048.56
BNK_0248,SET_0248,2026-08-03,45616.26
BNK_0249,SET_0249,2026-08-13,109890.95
BNK_0250,SET_0250,2026-08-10,115637.43
BNK_0251,SET_0251,2026-08-12,98549.22
BNK_0252,SET_0252,2026-08-13,102080.20999999999
BNK_0253,SET_0253,2026-08-07,-23606.16
BNK_0254,SET_0254,2026-08-17,-10581.96
BNK_0255,SET_0255,2026-08-17,72860.8
BNK_0256,SET_0256,2026-08-20,32056.57
BNK_0257,SET_0257,2026-08-14,80299.44
BNK_0259,SET_0259,2026-08-08,95524.04
BNK_0260,SET_0260,2026-08-11,11514.36
BNK_0261,SET_0261,2026-08-20,108421.62
BNK_0262,SET_0262,2026-08-20,14996.36
BNK_0263,SET_0263,2026-08-07,97079.13
BNK_0264,SET_0264,2026-08-17,102965.66
BNK_0265,SET_0265,2026-08-04,49335.64
BNK_0266,SET_0266,2026-08-15,114944.2
BNK_0267,SET_0267,2026-08-06,97972.23
BNK_0268,SET_0268,2026-08-14,9989.9
BNK_0269,SET_0269,2026-08-27,6358.88
BNK_0270,SET_0270,2026-08-07,66072.53
BNK_0271,SET_0271,2026-08-06,91050.77
BNK_0272,SET_0272,2026-08-09,11027.67
BNK_0273,SET_0273,2026-08-18,71338.56
BNK_0274,SET_0274,2026-08-13,37780.56
BNK_0275,SET_0275,2026-08-16,26359.93
BNK_0276,SET_0276,2026-08-05,110521.02
BNK_0277,SET_0277,2026-08-15,101724.45
BNK_0278,SET_0278,2026-08-14,33647.51
BNK_0279,SET_0279,2026-08-05,43661.31
BNK_0280,SET_0280,2026-08-13,10652.63
BNK_0281,SET_0281,2026-08-17,113532.83
BNK_0282,SET_0282,2026-08-07,12714.1
BNK_0283,SET_0283,2026-08-12,27928.38
BNK_0284,SET_0284,2026-08-21,108320.26
BNK_0285,SET_0285,2026-08-16,9805.08
BNK_0286,SET_0286,2026-08-30,42246.58
BNK_0287,SET_0287,2026-08-22,104065.08
BNK_0288,SET_0288,2026-08-18,46138.0
BNK_0289,SET_0289,2026-08-05,85657.7
BNK_0290,SET_0290,2026-08-22,115101.5
BNK_0291,SET_0291,2026-08-13,17053.2
BNK_0292,SET_0292,2026-08-12,54769.42
BNK_0293,SET_0293,2026-08-17,44402.24
BNK_0294,SET_0294,2026-08-22,115351.84999999999
BNK_0295,SET_0295,2026-08-23,50407.44
BNK_0296,SET_0296,2026-08-03,21467.47
BNK_0297,SET_0297,2026-08-04,19621.8
BNK_0298,SET_0298,2026-08-27,9339.79
BNK_0299,SET_0299,2026-08-17,89612.92
BNK_0300,SET_0300,2026-08-19,46094.39
BNK_0301,SET_0301,2026-08-10,111302.8
BNK_0302,SET_0302,2026-08-18,62660.46
BNK_0303,SET_0303,2026-08-19,90918.05
BNK_0304,SET_0304,2026-08-24,27773.19
BNK_0305,SET_0305,2026-08-17,115339.26
BNK_0306,SET_0306,2026-08-05,66203.59
BNK_0307,SET_0307,2026-08-08,83979.91
BNK_0308,SET_0308,2026-08-19,30416.73
BNK_0309,SET_0309,2026-08-10,92610.8
BNK_0310,SET_0310,2026-08-20,68651.24
BNK_0311,SET_0311,2026-08-22,102923.54
BNK_0312,SET_0312,2026-08-15,115595.52
BNK_0313,SET_0313,2026-08-16,96232.41
BNK_0314,SET_0314,2026-08-21,76348.04
BNK_0315,SET_0315,2026-08-07,102232.94
BNK_0316,SET_0316,2026-08-07,53312.200000000004
BNK_0317,SET_0317,2026-08-12,23870.9
BNK_0318,SET_0318,2026-08-14,109870.6
BNK_0319,SET_0319,2026-08-05,33312.99
BNK_0320,SET_0320,2026-08-07,74445.7
BNK_0321,SET_0321,2026-08-19,76199.61
BNK_0322,SET_0322,2026-08-08,78149.07
BNK_0324,SET_0324,2026-08-04,109987.46
BNK_0325,SET_0325,2026-08-23,28940.99
BNK_0326,SET_0326,2026-08-22,75980.29
BNK_0327,SET_0327,2026-08-23,110877.68
BNK_0329,SET_0329,2026-08-08,-54076.17
BNK_0330,SET_0330,2026-08-09,43154.87
BNK_0331,SET_0331,2026-08-18,86439.72
BNK_0332,SET_0332,2026-08-19,67477.18
BNK_0334,SET_0334,2026-08-04,37664.11
BNK_0335,SET_0335,2026-08-10,111540.75
BNK_0336,SET_0336,2026-08-21,85003.73
BNK_0337,SET_0337,2026-08-18,115197.21
BNK_0338,SET_0338,2026-08-12,60422.11
BNK_0339,SET_0339,2026-08-19,56012.44
BNK_0340,SET_0340,2026-08-21,44549.33
BNK_0341,SET_0341,2026-08-23,79663.77
BNK_0342,SET_0342,2026-08-06,53122.87
BNK_0343,SET_0343,2026-08-15,45983.15
BNK_0344,SET_0344,2026-08-21,67502.08
BNK_0345,SET_0345,2026-08-05,-48225.52
BNK_0346,SET_0346,2026-08-22,80529.24
BNK_0348,SET_0348,2026-08-07,27650.1
BNK_0349,SET_0349,2026-08-19,10204.33
BNK_0350,SET_0350,2026-08-13,94104.09
BNK_0351,SET_0351,2026-08-07,72384.57
BNK_0352,SET_0352,2026-08-13,108100.31
BNK_0353,SET_0353,2026-08-15,114609.07
BNK_0354,SET_0354,2026-08-19,96776.22
BNK_0355,SET_0355,2026-08-21,38682.64
BNK_0357,SET_0357,2026-08-23,8709.41
BNK_0358,SET_0358,2026-08-23,91790.27
BNK_0359,SET_0359,2026-08-04,69886.7
BNK_0360,SET_0360,2026-08-07,96048.07
BNK_0361,SET_0361,2026-08-21,109949.92
BNK_0362,SET_0362,2026-08-03,54233.61
BNK_0363,SET_0363,2026-08-16,81638.97
BNK_0364,SET_0364,2026-08-04,83317.06
BNK_0365,SET_0365,2026-08-20,-41491.3
BNK_0367,SET_0367,2026-08-20,44703.26
BNK_0368,SET_0368,2026-08-09,110953.17
BNK_0369,SET_0369,2026-08-16,109211.72
BNK_0370,SET_0370,2026-08-18,40611.46
BNK_0371,SET_0371,2026-08-12,19170.85
BNK_0372,SET_0372,2026-08-19,95687.31
BNK_0373,SET_0373,2026-08-11,43832.8
BNK_0374,SET_0374,2026-08-13,96739.11
BNK_0375,SET_0375,2026-08-27,87174.8
BNK_0376,SET_0376,2026-08-19,30573.84
BNK_0377,SET_0377,2026-08-06,51186.46
BNK_0378,SET_0378,2026-08-07,6351.22
BNK_0379,SET_0379,2026-08-16,77507.5
BNK_0380,SET_0380,2026-08-23,27693.84
BNK_0381,SET_0381,2026-08-12,76739.05
BNK_0382,SET_0382,2026-08-20,-86932.62
BNK_0383,SET_0383,2026-08-16,102703.67
BNK_0384,SET_0384,2026-08-15,92345.78
BNK_0385,SET_0385,2026-08-04,6800.07
BNK_0386,SET_0386,2026-08-19,37043.37
BNK_0387,SET_0387,2026-08-17,35755.33
BNK_0388,SET_0388,2026-08-08,86101.3
BNK_0389,SET_0389,2026-08-09,86705.37
BNK_0390,SET_0390,2026-08-23,-104329.32
BNK_0391,SET_0391,2026-08-05,49816.74
BNK_0392,SET_0392,2026-08-07,58234.16
BNK_0393,SET_0393,2026-08-11,47920.72
BNK_0394,SET_0394,2026-08-13,38905.47
BNK_0395,SET_0395,2026-08-14,-81888.17
BNK_0397,SET_0397,2026-08-06,75949.55
BNK_0398,SET_0398,2026-08-22,30044.06
BNK_0399,SET_0399,2026-08-07,55748.21
BNK_0400,SET_0400,2026-08-20,106060.04
BNK_0401,SET_0401,2026-08-10,80523.0
BNK_0402,SET_0402,2026-08-26,54860.84
BNK_0403,SET_0403,2026-08-13,96829.47
BNK_0404,SET_0404,2026-08-07,23857.73
BNK_0405,SET_0405,2026-08-06,80517.88
BNK_0406,SET_0406,2026-08-11,104532.19
BNK_0407,SET_0407,2026-08-19,51419.71
BNK_0408,SET_0408,2026-08-20,56577.96
BNK_0409,SET_0409,2026-08-15,33736.17
BNK_0410,SET_0410,2026-08-21,13804.87
BNK_0411,SET_0411,2026-08-05,65233.14
BNK_0412,SET_0412,2026-08-24,9268.33
BNK_0413,SET_0413,2026-08-23,111661.22
BNK_0414,SET_0414,2026-08-17,101316.75
BNK_0416,SET_0416,2026-08-23,100291.37
BNK_0417,SET_0417,2026-08-20,48962.63
BNK_0419,SET_0419,2026-08-20,52375.86
BNK_0420,SET_0420,2026-08-10,56323.07
BNK_0421,SET_0421,2026-08-06,9321.33
BNK_0422,SET_0422,2026-08-18,28421.71
BNK_0423,SET_0423,2026-08-04,32668.0
BNK_0424,SET_0424,2026-08-17,31526.04
BNK_0425,SET_0425,2026-08-15,61139.0
BNK_0426,SET_0426,2026-08-21,71468.04
BNK_0427,SET_0427,2026-08-12,102045.99
BNK_0428,SET_0428,2026-08-16,38794.44
BNK_0429,SET_0429,2026-08-23,80348.13
BNK_0430,SET_0430,2026-08-04,112595.86
BNK_0431,SET_0431,2026-08-16,50569.31
BNK_0432,SET_0432,2026-08-20,57801.83
BNK_0433,SET_0433,2026-08-07,94302.96
BNK_0434,SET_0434,2026-08-16,67004.4
BNK_0435,SET_0435,2026-08-10,33795.32
BNK_0436,SET_0436,2026-08-17,98846.38
BNK_0437,SET_0437,2026-08-04,35274.65
BNK_0438,SET_0438,2026-08-05,26453.24
BNK_0439,SET_0439,2026-08-21,28730.13
BNK_0440,SET_0440,2026-08-09,111473.92
BNK_0441,SET_0441,2026-08-10,82285.15
BNK_0442,SET_0442,2026-08-20,41113.99
BNK_0443,SET_0443,2026-08-17,64407.74
BNK_0444,SET_0444,2026-08-11,45291.84
BNK_0446,SET_0446,2026-08-09,46506.9
BNK_0447,SET_0447,2026-08-21,100708.63
BNK_0448,SET_0448,2026-08-11,66567.71
BNK_0449,SET_0449,2026-08-12,-22525.6
BNK_0450,SET_0450,2026-08-15,-68377.93
BNK_0451,SET_0451,2026-08-20,77695.93
BNK_0452,SET_0452,2026-08-18,111894.31999999999
BNK_0453,SET_0453,2026-08-14,24377.19
BNK_0454,SET_0454,2026-08-08,106510.73
BNK_0455,SET_0455,2026-08-19,9497.82
BNK_0456,SET_0456,2026-08-03,51086.59
BNK_0457,SET_0457,2026-08-07,-6786.26
BNK_0458,SET_0458,2026-08-20,12422.93
BNK_0459,SET_0459,2026-08-03,64249.8
BNK_0460,SET_0460,2026-08-03,63846.2
BNK_0461,SET_0461,2026-08-16,94429.58
BNK_0462,SET_0462,2026-08-19,22139.58
BNK_0464,SET_0464,2026-08-14,111266.58
BNK_0465,SET_0465,2026-08-10,38736.62
BNK_0466,SET_0466,2026-08-05,50305.07
BNK_0467,SET_0467,2026-08-04,75733.87
BNK_0468,SET_0468,2026-08-18,98648.24
BNK_0469,SET_0469,2026-08-19,106758.22
BNK_0470,SET_0470,2026-08-21,-58019.52
BNK_0471,SET_0471,2026-08-16,104578.58
BNK_0472,SET_0472,2026-08-09,111407.08
BNK_0473,SET_0473,2026-08-20,23628.46
BNK_0474,SET_0474,2026-08-15,88791.72
BNK_0475,SET_0475,2026-08-19,87676.37
BNK_0476,SET_0476,2026-08-06,53799.64
BNK_0477,SET_0477,2026-08-22,90263.43
BNK_0478,SET_0478,2026-08-13,9036.62
BNK_0479,SET_0479,2026-08-18,30844.83
BNK_0480,SET_0480,2026-08-16,26186.8
BNK_0481,SET_0481,2026-08-05,90610.76
BNK_0482,SET_0482,2026-08-05,14794.53
BNK_0483,SET_0483,2026-08-23,22730.54
BNK_0484,SET_0484,2026-08-14,17487.47
BNK_0485,SET_0485,2026-08-17,45321.81
BNK_0486,SET_0486,2026-08-07,15372.3
BNK_0487,SET_0487,2026-08-20,66724.62
BNK_0488,SET_0488,2026-08-03,15627.34
BNK_0489,SET_0489,2026-08-22,-71481.9
BNK_0490,SET_0490,2026-08-10,37843.77
BNK_0491,SET_0491,2026-08-21,63029.5
BNK_0492,SET_0492,2026-08-11,35324.89
BNK_0493,SET_0493,2026-08-08,53534.68
BNK_0494,SET_0494,2026-08-18,91764.19
BNK_0495,SET_0495,2026-08-10,84978.57
BNK_0496,SET_0496,2026-08-17,17533.77
BNK_0497,SET_0497,2026-08-21,42278.73
BNK_0498,SET_0498,2026-08-13,53088.64
BNK_0499,SET_0499,2026-08-12,41009.63
BNK_0500,SET_0500,2026-08-20,25296.88
