Invoice_ID,Date,Base_Amount,GST_Amount,Total_Amount,Merchant_ID,should_match,exception_type,expected_match_confidence
INV_0021,2026-08-15,63201.97,11376.35,74578.32,MERCHANT_009,False,missing_settlement,0.0
INV_0022,2026-08-18,47361.79,8525.12,55886.91,MERCHANT_003,True,none,1.0
INV_0023,2026-08-15,29623.2,5332.18,34955.38,MERCHANT_004,True,none,1.0
INV_0024,2026-08-17,51036.72,9186.61,60223.33,MERCHANT_004,False,amount_mismatch,0.85
INV_0025,2026-08-10,27276.89,4909.84,32186.73,MERCHANT_006,True,none,1.0
INV_0026,2026-08-18,12654.88,2277.88,14932.76,MERCHANT_003,False,missing_payment,0.0
INV_0027,2026-08-13,70925.23,12766.54,83691.77,MERCHANT_004,True,none,1.0
INV_0028,2026-08-14,43721.94,7869.95,51591.89,MERCHANT_009,True,none,1.0
INV_0029,2026-08-14,10915.24,1964.74,12879.98,MERCHANT_007,True,none,1.0
INV_0030,2026-08-19,94875.89,17077.66,111953.55,MERCHANT_001,True,none,1.0
INV_0031,2026-08-16,5560.13,1000.82,6560.95,MERCHANT_006,True,none,1.0
INV_0032,2026-08-13,86077.56,15493.96,101571.52,MERCHANT_007,True,none,1.0
INV_0033,2026-08-16,25845.06,4652.11,30497.17,MERCHANT_007,True,none,1.0
INV_0034,2026-08-01,41941.43,7549.46,49490.89,MERCHANT_007,True,none,1.0
INV_0035,2026-08-15,92356.45,16624.16,108980.61,MERCHANT_010,True,none,1.0
INV_0036,2026-08-13,61229.81,11021.37,72251.18,MERCHANT_001,True,none,1.0
INV_0037,2026-08-21,45718.21,8229.28,53947.49,MERCHANT_008,False,missing_settlement,0.0
INV_0038,2026-08-02,29714.85,5348.67,35063.52,MERCHANT_006,True,none,1.0
INV_0039,2026-08-15,36050.35,6489.06,42539.41,MERCHANT_007,True,none,1.0
INV_0040,2026-08-14,28965.8,5213.84,34179.64,MERCHANT_002,True,none,1.0
INV_0041,2026-08-01,76157.3,13708.31,89865.61,MERCHANT_001,True,timing_difference,0.9
INV_0042,2026-08-03,79217.14,14259.09,93476.23,MERCHANT_001,True,none,1.0
INV_0043,2026-08-08,23939.26,4309.07,28248.33,MERCHANT_001,True,none,1.0
INV_0044,2026-08-08,16990.99,3058.38,20049.37,MERCHANT_002,True,none,1.0
INV_0045,2026-08-15,71449.17,12860.85,84310.02,MERCHANT_006,False,amount_mismatch,0.85
INV_0046,2026-08-04,78890.23,14200.24,93090.47,MERCHANT_003,True,none,1.0
INV_0047,2026-08-04,59975.05,10795.51,70770.56,MERCHANT_005,True,none,1.0
INV_0048,2026-08-13,94439.71,16999.15,111438.86,MERCHANT_004,True,timing_difference,0.9
INV_0049,2026-08-21,28070.69,5052.72,33123.41,MERCHANT_005,True,none,1.0
INV_0050,2026-08-19,79350.36,14283.06,93633.42,MERCHANT_006,True,none,1.0
INV_0051,2026-08-12,11550.89,2079.16,13630.05,MERCHANT_006,True,none,1.0
INV_0052,2026-08-14,83121.44,14961.86,98083.3,MERCHANT_002,True,none,1.0
INV_0053,2026-08-12,65380.59,11768.51,77149.1,MERCHANT_008,False,missing_settlement,0.0
INV_0054,2026-08-14,21733.01,3911.94,25644.95,MERCHANT_009,True,none,1.0
INV_0055,2026-08-20,81778.93,14720.21,96499.14,MERCHANT_009,True,none,1.0
INV_0056,2026-08-15,46379.58,8348.32,54727.9,MERCHANT_010,True,none,1.0
INV_0057,2026-08-11,85912.75,15464.3,101377.05,MERCHANT_002,True,none,1.0
INV_0058,2026-08-15,28167.03,5070.07,33237.1,MERCHANT_008,True,none,1.0
INV_0059,2026-08-11,7726.5,1390.77,9117.27,MERCHANT_006,True,none,1.0
INV_0060,2026-08-16,25151.39,4527.25,29678.64,MERCHANT_005,True,timing_difference,0.9
INV_0061,2026-08-09,57800.15,10404.03,68204.18,MERCHANT_009,True,none,1.0
INV_0062,2026-08-03,27928.82,5027.19,32956.01,MERCHANT_007,True,timing_difference,0.9
INV_0063,2026-08-16,66360.78,11944.94,78305.72,MERCHANT_008,True,none,1.0
INV_0064,2026-08-01,13840.07,2491.21,16331.28,MERCHANT_004,True,none,1.0
INV_0065,2026-08-08,34089.57,6136.12,40225.69,MERCHANT_010,True,none,1.0
INV_0066,2026-08-16,57579.93,10364.39,67944.32,MERCHANT_006,True,none,1.0
INV_0067,2026-08-18,36425.17,6556.53,42981.7,MERCHANT_008,True,none,1.0
INV_0068,2026-08-10,28883.35,5199.0,34082.35,MERCHANT_002,True,none,1.0
INV_0069,2026-08-11,16357.7,2944.39,19302.09,MERCHANT_009,True,timing_difference,0.9
INV_0070,2026-08-16,31267.46,5628.14,36895.6,MERCHANT_010,False,missing_payment,0.0
INV_0071,2026-08-04,84099.69,15137.94,99237.63,MERCHANT_005,True,none,1.0
INV_0072,2026-08-12,22046.95,3968.45,26015.4,MERCHANT_001,False,duplicate,0.0
INV_0072,2026-08-12,22046.95,3968.45,26015.4,MERCHANT_001,False,duplicate,0.0
INV_0073,2026-08-09,9323.99,1678.32,11002.31,MERCHANT_001,True,none,1.0
INV_0074,2026-08-05,65597.62,11807.57,77405.19,MERCHANT_008,True,timing_difference,0.9
INV_0075,2026-08-10,49592.71,8926.69,58519.4,MERCHANT_008,False,amount_mismatch,0.85
INV_0076,2026-08-02,28985.45,5217.38,34202.83,MERCHANT_008,False,amount_mismatch,0.85
INV_0077,2026-08-13,51715.92,9308.87,61024.79,MERCHANT_010,True,none,1.0
INV_0078,2026-08-05,19173.77,3451.28,22625.05,MERCHANT_010,True,timing_difference,0.9
INV_0079,2026-08-04,58016.94,10443.05,68459.99,MERCHANT_007,True,none,1.0
INV_0080,2026-08-17,41135.91,7404.46,48540.37,MERCHANT_008,True,none,1.0
INV_0081,2026-08-19,99052.97,17829.53,116882.5,MERCHANT_005,True,none,1.0
INV_0082,2026-08-20,96210.33,17317.86,113528.19,MERCHANT_002,True,none,1.0
INV_0083,2026-08-21,25047.39,4508.53,29555.92,MERCHANT_002,False,missing_settlement,0.0
INV_0084,2026-08-08,21512.29,3872.21,25384.5,MERCHANT_002,True,none,1.0
INV_0085,2026-08-01,43809.17,7885.65,51694.82,MERCHANT_010,False,amount_mismatch,0.85
INV_0086,2026-08-08,32369.96,5826.59,38196.55,MERCHANT_005,False,missing_settlement,0.0
INV_0087,2026-08-03,70301.57,12654.28,82955.85,MERCHANT_005,True,timing_difference,0.9
INV_0088,2026-08-18,26356.9,4744.24,31101.14,MERCHANT_003,True,none,1.0
INV_0089,2026-08-05,11783.93,2121.11,13905.04,MERCHANT_003,False,missing_settlement,0.0
INV_0090,2026-08-20,76150.98,13707.18,89858.16,MERCHANT_010,True,none,1.0
INV_0091,2026-08-15,16813.6,3026.45,19840.05,MERCHANT_005,True,none,1.0
INV_0092,2026-08-09,52544.86,9458.07,62002.93,MERCHANT_008,True,none,1.0
INV_0093,2026-08-03,61813.48,11126.43,72939.91,MERCHANT_007,True,none,1.0
INV_0094,2026-08-20,28784.95,5181.29,33966.24,MERCHANT_002,True,none,1.0
INV_0095,2026-08-19,60776.68,10939.8,71716.48,MERCHANT_001,True,none,1.0
INV_0096,2026-08-19,8822.01,1587.96,10409.97,MERCHANT_003,True,none,1.0
INV_0097,2026-08-17,66893.4,12040.81,78934.21,MERCHANT_005,True,none,1.0
INV_0098,2026-08-19,46409.07,8353.63,54762.7,MERCHANT_008,False,amount_mismatch,0.85
INV_0099,2026-08-14,36664.3,6599.57,43263.87,MERCHANT_002,False,amount_mismatch,0.85
INV_0100,2026-08-16,32380.69,5828.52,38209.21,MERCHANT_007,True,none,1.0
INV_0101,2026-08-15,13365.68,2405.82,15771.5,MERCHANT_005,True,none,1.0
INV_0102,2026-08-04,97167.55,17490.16,114657.71,MERCHANT_007,True,timing_difference,0.9
INV_0103,2026-08-14,10149.39,1826.89,11976.28,MERCHANT_009,True,none,1.0
INV_0104,2026-08-20,76862.1,13835.18,90697.28,MERCHANT_008,True,timing_difference,0.9
INV_0105,2026-08-18,17446.26,3140.33,20586.59,MERCHANT_005,True,none,1.0
INV_0106,2026-08-16,16535.48,2976.39,19511.87,MERCHANT_010,True,none,1.0
INV_0107,2026-08-06,34521.26,6213.83,40735.09,MERCHANT_001,True,none,1.0
INV_0108,2026-08-03,26346.56,4742.38,31088.94,MERCHANT_002,False,amount_mismatch,0.85
INV_0109,2026-08-21,84053.6,15129.65,99183.25,MERCHANT_008,True,none,1.0
INV_0110,2026-08-17,72014.1,12962.54,84976.64,MERCHANT_007,True,none,1.0
INV_0111,2026-08-16,28154.44,5067.8,33222.24,MERCHANT_009,True,none,1.0
INV_0112,2026-08-13,23107.99,4159.44,27267.43,MERCHANT_010,False,amount_mismatch,0.85
INV_0113,2026-08-09,78404.14,14112.75,92516.89,MERCHANT_007,True,none,1.0
INV_0114,2026-08-17,30381.4,5468.65,35850.05,MERCHANT_001,True,none,1.0
INV_0115,2026-08-10,84560.21,15220.84,99781.05,MERCHANT_010,True,timing_difference,0.9
INV_0116,2026-08-18,-51012.43,-9182.24,-60194.67,MERCHANT_006,True,refund,0.95
INV_0117,2026-08-15,93620.96,16851.77,110472.73,MERCHANT_004,False,missing_settlement,0.0
INV_0118,2026-08-19,41382.23,7448.8,48831.03,MERCHANT_007,True,none,1.0
INV_0119,2026-08-11,75746.99,13634.46,89381.45,MERCHANT_007,True,none,1.0
INV_0120,2026-08-21,98177.72,17671.99,115849.71,MERCHANT_008,True,none,1.0
INV_0121,2026-08-05,52717.66,9489.18,62206.84,MERCHANT_010,True,none,1.0
INV_0122,2026-08-04,88048.09,15848.66,103896.75,MERCHANT_008,True,none,1.0
INV_0123,2026-08-17,-91491.96,-16468.55,-107960.51,MERCHANT_001,True,refund,0.95
INV_0124,2026-08-14,87738.63,15792.95,103531.58,MERCHANT_003,True,none,1.0
INV_0125,2026-08-16,79244.9,14264.08,93508.98,MERCHANT_005,True,none,1.0
INV_0126,2026-08-20,70806.94,12745.25,83552.19,MERCHANT_002,False,amount_mismatch,0.85
INV_0127,2026-08-18,41100.89,7398.16,48499.05,MERCHANT_006,True,none,1.0
INV_0128,2026-08-18,8410.41,1513.87,9924.28,MERCHANT_002,True,none,1.0
INV_0129,2026-08-21,70017.96,12603.23,82621.19,MERCHANT_005,True,none,1.0
INV_0130,2026-08-03,46227.29,8320.91,54548.2,MERCHANT_002,True,none,1.0
INV_0131,2026-08-15,20804.65,3744.84,24549.49,MERCHANT_005,True,none,1.0
INV_0132,2026-08-02,35815.59,6446.81,42262.4,MERCHANT_001,True,none,1.0
INV_0133,2026-08-12,40609.9,7309.78,47919.68,MERCHANT_003,True,none,1.0
INV_0134,2026-08-17,-44144.92,-7946.09,-52091.01,MERCHANT_003,True,refund,0.95
INV_0135,2026-08-06,12501.99,2250.36,14752.35,MERCHANT_007,True,none,1.0
INV_0136,2026-08-16,91718.76,16509.38,108228.14,MERCHANT_003,True,none,1.0
INV_0137,2026-08-15,65600.94,11808.17,77409.11,MERCHANT_008,True,none,1.0
INV_0138,2026-08-01,90396.31,16271.34,106667.65,MERCHANT_008,True,none,1.0
INV_0139,2026-08-18,20007.68,3601.38,23609.06,MERCHANT_008,True,timing_difference,0.9
INV_0140,2026-08-21,96392.76,17350.7,113743.46,MERCHANT_005,False,duplicate,0.0
INV_0140,2026-08-21,96392.76,17350.7,113743.46,MERCHANT_005,False,duplicate,0.0
INV_0141,2026-08-10,23925.61,4306.61,28232.22,MERCHANT_007,True,none,1.0
INV_0142,2026-08-04,27534.54,4956.22,32490.76,MERCHANT_010,False,missing_settlement,0.0
INV_0143,2026-08-19,33107.88,5959.42,39067.3,MERCHANT_005,True,none,1.0
INV_0144,2026-08-13,31075.64,5593.62,36669.26,MERCHANT_010,True,none,1.0
INV_0145,2026-08-20,75791.35,13642.44,89433.79,MERCHANT_005,True,none,1.0
INV_0146,2026-08-20,81183.54,14613.04,95796.58,MERCHANT_004,True,none,1.0
INV_0147,2026-08-20,28809.55,5185.72,33995.27,MERCHANT_003,False,amount_mismatch,0.85
INV_0148,2026-08-21,8745.14,1574.13,10319.27,MERCHANT_008,True,none,1.0
INV_0149,2026-08-19,39661.82,7139.13,46800.95,MERCHANT_003,True,none,1.0
INV_0150,2026-08-10,36038.32,6486.9,42525.22,MERCHANT_007,False,duplicate,0.0
INV_0150,2026-08-10,36038.32,6486.9,42525.22,MERCHANT_007,False,duplicate,0.0
INV_0151,2026-08-07,17555.18,3159.93,20715.11,MERCHANT_009,True,none,1.0
INV_0152,2026-08-17,52670.5,9480.69,62151.19,MERCHANT_005,True,none,1.0
INV_0153,2026-08-09,91834.65,16530.24,108364.89,MERCHANT_008,False,missing_settlement,0.0
INV_0154,2026-08-11,81402.09,14652.38,96054.47,MERCHANT_008,True,none,1.0
INV_0155,2026-08-05,76644.39,13795.99,90440.38,MERCHANT_004,True,timing_difference,0.9
INV_0156,2026-08-03,80114.79,14420.66,94535.45,MERCHANT_001,False,duplicate,0.0
INV_0156,2026-08-03,80114.79,14420.66,94535.45,MERCHANT_001,False,duplicate,0.0
INV_0157,2026-08-18,16740.93,3013.37,19754.3,MERCHANT_006,True,none,1.0
INV_0158,2026-08-19,41197.42,7415.54,48612.96,MERCHANT_006,True,none,1.0
INV_0159,2026-08-08,49790.3,8962.25,58752.55,MERCHANT_010,False,missing_settlement,0.0
INV_0160,2026-08-20,26029.88,4685.38,30715.26,MERCHANT_002,True,none,1.0
INV_0161,2026-08-10,66677.75,12001.99,78679.74,MERCHANT_002,True,none,1.0
INV_0162,2026-08-02,94894.85,17081.07,111975.92,MERCHANT_005,True,none,1.0
INV_0163,2026-08-04,14233.24,2561.98,16795.22,MERCHANT_009,True,none,1.0
INV_0164,2026-08-13,48096.16,8657.31,56753.47,MERCHANT_009,True,none,1.0
INV_0165,2026-08-19,75515.56,13592.8,89108.36,MERCHANT_003,True,timing_difference,0.9
INV_0166,2026-08-20,43771.01,7878.78,51649.79,MERCHANT_005,True,none,1.0
INV_0167,2026-08-12,25640.62,4615.31,30255.93,MERCHANT_008,True,none,1.0
INV_0168,2026-08-12,14438.69,2598.96,17037.65,MERCHANT_006,True,none,1.0
INV_0169,2026-08-02,42823.27,7708.19,50531.46,MERCHANT_004,False,amount_mismatch,0.85
INV_0170,2026-08-15,13708.98,2467.62,16176.6,MERCHANT_004,False,amount_mismatch,0.85
INV_0171,2026-08-11,28139.05,5065.03,33204.08,MERCHANT_003,True,none,1.0
INV_0172,2026-08-03,83832.69,15089.88,98922.57,MERCHANT_009,True,none,1.0
INV_0173,2026-08-19,25515.38,4592.77,30108.15,MERCHANT_004,False,amount_mismatch,0.85
INV_0174,2026-08-20,5269.38,948.49,6217.87,MERCHANT_003,True,none,1.0
INV_0175,2026-08-18,28812.15,5186.19,33998.34,MERCHANT_003,True,none,1.0
INV_0176,2026-08-01,17521.31,3153.84,20675.15,MERCHANT_006,True,none,1.0
INV_0177,2026-08-19,35758.29,6436.49,42194.78,MERCHANT_003,True,none,1.0
INV_0178,2026-08-02,17042.06,3067.57,20109.63,MERCHANT_007,True,none,1.0
INV_0179,2026-08-03,50243.37,9043.81,59287.18,MERCHANT_006,False,amount_mismatch,0.85
INV_0180,2026-08-08,94814.49,17066.61,111881.1,MERCHANT_001,False,missing_payment,0.0
INV_0181,2026-08-15,66117.36,11901.12,78018.48,MERCHANT_001,True,none,1.0
INV_0182,2026-08-16,85493.36,15388.8,100882.16,MERCHANT_007,True,none,1.0
INV_0183,2026-08-16,72678.12,13082.06,85760.18,MERCHANT_008,True,none,1.0
INV_0184,2026-08-03,35600.62,6408.11,42008.73,MERCHANT_003,False,duplicate,0.0
INV_0184,2026-08-03,35600.62,6408.11,42008.73,MERCHANT_003,False,duplicate,0.0
INV_0185,2026-08-05,31126.52,5602.77,36729.29,MERCHANT_010,False,amount_mismatch,0.85
INV_0186,2026-08-20,55402.9,9972.52,65375.42,MERCHANT_008,True,none,1.0
INV_0187,2026-08-04,80344.13,14461.94,94806.07,MERCHANT_002,True,none,1.0
INV_0188,2026-08-14,47897.72,8621.59,56519.31,MERCHANT_004,False,duplicate,0.0
INV_0188,2026-08-14,47897.72,8621.59,56519.31,MERCHANT_004,False,duplicate,0.0
INV_0189,2026-08-11,83604.83,15048.87,98653.7,MERCHANT_007,True,none,1.0
INV_0190,2026-08-04,34692.09,6244.58,40936.67,MERCHANT_006,True,none,1.0
INV_0191,2026-08-12,95591.29,17206.43,112797.72,MERCHANT_008,True,timing_difference,0.9
INV_0192,2026-08-03,46028.27,8285.09,54313.36,MERCHANT_006,True,none,1.0
INV_0193,2026-08-18,10698.19,1925.67,12623.86,MERCHANT_009,True,none,1.0
INV_0194,2026-08-04,44026.82,7924.83,51951.65,MERCHANT_007,False,missing_payment,0.0
INV_0195,2026-08-10,62038.96,11167.01,73205.97,MERCHANT_006,True,none,1.0
INV_0196,2026-08-19,53204.19,9576.75,62780.94,MERCHANT_003,True,none,1.0
INV_0197,2026-08-08,85491.11,15388.4,100879.51,MERCHANT_006,True,none,1.0
INV_0198,2026-08-04,77447.54,13940.56,91388.1,MERCHANT_010,True,none,1.0
INV_0199,2026-08-14,85289.74,15352.15,100641.89,MERCHANT_010,True,none,1.0
INV_0200,2026-08-20,93263.01,16787.34,110050.35,MERCHANT_005,False,amount_mismatch,0.85
INV_0201,2026-08-10,92546.06,16658.29,109204.35,MERCHANT_006,True,none,1.0
INV_0202,2026-08-06,87636.96,15774.65,103411.61,MERCHANT_010,True,none,1.0
INV_0203,2026-08-03,18478.09,3326.06,21804.15,MERCHANT_001,True,timing_difference,0.9
INV_0204,2026-08-13,-44884.09,-8079.14,-52963.23,MERCHANT_006,True,refund,0.95
INV_0205,2026-08-12,34605.55,6229.0,40834.55,MERCHANT_006,True,none,1.0
INV_0206,2026-08-02,-19780.09,-3560.42,-23340.51,MERCHANT_010,True,refund,0.95
INV_0207,2026-08-03,30849.77,5552.96,36402.73,MERCHANT_007,True,none,1.0
INV_0208,2026-08-20,46994.2,8458.96,55453.16,MERCHANT_005,True,none,1.0
INV_0209,2026-08-17,15812.66,2846.28,18658.94,MERCHANT_007,True,none,1.0
INV_0210,2026-08-10,69430.7,12497.53,81928.23,MERCHANT_010,True,none,1.0
INV_0211,2026-08-17,68377.59,12307.97,80685.56,MERCHANT_001,True,timing_difference,0.9
INV_0212,2026-08-02,5730.27,1031.45,6761.72,MERCHANT_005,False,amount_mismatch,0.85
INV_0213,2026-08-09,32497.48,5849.55,38347.03,MERCHANT_002,False,missing_settlement,0.0
INV_0214,2026-08-16,75966.34,13673.94,89640.28,MERCHANT_003,True,none,1.0
INV_0215,2026-08-13,-55595.32,-10007.16,-65602.48,MERCHANT_004,True,refund,0.95
INV_0216,2026-08-03,42721.76,7689.92,50411.68,MERCHANT_001,True,timing_difference,0.9
INV_0217,2026-08-03,86900.45,15642.08,102542.53,MERCHANT_010,True,none,1.0
INV_0218,2026-08-19,43420.17,7815.63,51235.8,MERCHANT_007,False,missing_settlement,0.0
INV_0219,2026-08-04,43478.07,7826.05,51304.12,MERCHANT_006,False,missing_settlement,0.0
INV_0220,2026-08-20,48709.21,8767.66,57476.87,MERCHANT_006,True,none,1.0
INV_0221,2026-08-14,85226.01,15340.68,100566.69,MERCHANT_004,True,none,1.0
INV_0222,2026-08-19,43042.73,7747.69,50790.42,MERCHANT_002,False,duplicate,0.0
INV_0222,2026-08-19,43042.73,7747.69,50790.42,MERCHANT_002,False,duplicate,0.0
INV_0223,2026-08-10,75851.46,13653.26,89504.72,MERCHANT_004,True,none,1.0
INV_0224,2026-08-06,12256.04,2206.09,14462.13,MERCHANT_002,True,timing_difference,0.9
INV_0225,2026-08-21,82428.52,14837.13,97265.65,MERCHANT_004,True,none,1.0
INV_0226,2026-08-05,-29316.98,-5277.06,-34594.04,MERCHANT_003,True,refund,0.95
INV_0227,2026-08-21,12158.56,2188.54,14347.1,MERCHANT_008,True,none,1.0
INV_0228,2026-08-19,77188.33,13893.9,91082.23,MERCHANT_008,True,none,1.0
INV_0229,2026-08-21,35033.19,6305.97,41339.16,MERCHANT_008,True,none,1.0
INV_0230,2026-08-16,47009.77,8461.76,55471.53,MERCHANT_005,False,missing_payment,0.0
INV_0231,2026-08-19,10336.35,1860.54,12196.89,MERCHANT_009,False,duplicate,0.0
INV_0231,2026-08-19,10336.35,1860.54,12196.89,MERCHANT_009,False,duplicate,0.0
INV_0232,2026-08-10,48865.54,8795.8,57661.34,MERCHANT_001,False,amount_mismatch,0.85
INV_0233,2026-08-10,12289.45,2212.1,14501.55,MERCHANT_002,True,none,1.0
INV_0234,2026-08-15,60131.29,10823.63,70954.92,MERCHANT_001,False,amount_mismatch,0.85
INV_0235,2026-08-19,66924.56,12046.42,78970.98,MERCHANT_006,True,none,1.0
INV_0236,2026-08-17,19331.8,3479.72,22811.52,MERCHANT_001,True,timing_difference,0.9
INV_0237,2026-08-03,52932.16,9527.79,62459.95,MERCHANT_003,True,none,1.0
INV_0238,2026-08-08,72224.06,13000.33,85224.39,MERCHANT_008,False,missing_payment,0.0
INV_0239,2026-08-12,40420.94,7275.77,47696.71,MERCHANT_005,True,none,1.0
INV_0240,2026-08-14,78574.15,14143.35,92717.5,MERCHANT_010,True,none,1.0
INV_0241,2026-08-21,66494.01,11968.92,78462.93,MERCHANT_002,False,amount_mismatch,0.85
INV_0242,2026-08-13,31993.96,5758.91,37752.87,MERCHANT_010,True,none,1.0
INV_0243,2026-08-11,12742.69,2293.68,15036.37,MERCHANT_003,True,none,1.0
INV_0244,2026-08-10,96931.17,17447.61,114378.78,MERCHANT_007,True,none,1.0
INV_0245,2026-08-20,72339.23,13021.06,85360.29,MERCHANT_002,True,none,1.0
INV_0246,2026-08-18,40784.53,7341.22,48125.75,MERCHANT_006,True,none,1.0
INV_0247,2026-08-17,13878.03,2498.05,16376.08,MERCHANT_007,True,none,1.0
INV_0248,2026-08-01,39446.78,7100.42,46547.2,MERCHANT_003,False,duplicate,0.0
INV_0248,2026-08-01,39446.78,7100.42,46547.2,MERCHANT_003,False,duplicate,0.0
INV_0249,2026-08-11,95028.49,17105.13,112133.62,MERCHANT_008,True,none,1.0
INV_0250,2026-08-08,99997.78,17999.6,117997.38,MERCHANT_003,True,none,1.0
INV_0251,2026-08-10,85220.7,15339.73,100560.43,MERCHANT_002,True,none,1.0
INV_0252,2026-08-11,88257.31,15886.32,104143.63,MERCHANT_010,False,amount_mismatch,0.85
INV_0253,2026-08-05,-20413.49,-3674.43,-24087.92,MERCHANT_010,True,refund,0.95
INV_0254,2026-08-15,-9150.78,-1647.14,-10797.92,MERCHANT_006,True,refund,0.95
INV_0255,2026-08-15,63006.57,11341.18,74347.75,MERCHANT_008,False,missing_payment,0.0
INV_0256,2026-08-18,27721.01,4989.78,32710.79,MERCHANT_008,True,none,1.0
INV_0257,2026-08-12,69439.15,12499.05,81938.2,MERCHANT_010,True,none,1.0
INV_0258,2026-08-15,78096.66,14057.4,92154.06,MERCHANT_007,False,missing_settlement,0.0
INV_0259,2026-08-06,82604.67,14868.84,97473.51,MERCHANT_010,True,none,1.0
INV_0260,2026-08-09,9957.08,1792.27,11749.35,MERCHANT_008,True,none,1.0
INV_0261,2026-08-18,93757.89,16876.42,110634.31,MERCHANT_009,True,none,1.0
INV_0262,2026-08-10,12968.14,2334.27,15302.41,MERCHANT_003,True,timing_difference,0.9
INV_0263,2026-08-05,83949.44,15110.9,99060.34,MERCHANT_002,True,none,1.0
INV_0264,2026-08-15,89039.83,16027.17,105067.0,MERCHANT_001,True,none,1.0
INV_0265,2026-08-02,42663.13,7679.36,50342.49,MERCHANT_006,True,none,1.0
INV_0266,2026-08-13,99479.91,17906.38,117386.29,MERCHANT_006,False,amount_mismatch,0.85
INV_0267,2026-08-04,84721.75,15249.91,99971.66,MERCHANT_006,False,missing_payment,0.0
INV_0268,2026-08-05,8638.8,1554.98,10193.78,MERCHANT_008,True,timing_difference,0.9
INV_0269,2026-08-20,5498.86,989.79,6488.65,MERCHANT_002,True,timing_difference,0.9
INV_0270,2026-08-05,57136.4,10284.55,67420.95,MERCHANT_010,True,none,1.0
INV_0271,2026-08-04,78736.4,14172.55,92908.95,MERCHANT_004,True,none,1.0
INV_0272,2026-08-04,9536.2,1716.52,11252.72,MERCHANT_007,True,timing_difference,0.9
INV_0273,2026-08-16,61690.21,11104.24,72794.45,MERCHANT_001,True,none,1.0
INV_0274,2026-08-05,32670.84,5880.75,38551.59,MERCHANT_001,True,timing_difference,0.9
INV_0275,2026-08-14,22794.82,4103.07,26897.89,MERCHANT_002,True,none,1.0
INV_0276,2026-08-03,95573.35,17203.2,112776.55,MERCHANT_009,True,none,1.0
INV_0277,2026-08-13,87966.49,15833.97,103800.46,MERCHANT_001,True,none,1.0
INV_0278,2026-08-12,29096.77,5237.42,34334.19,MERCHANT_001,True,none,1.0
INV_0279,2026-08-03,37756.24,6796.12,44552.36,MERCHANT_002,True,none,1.0
INV_0280,2026-08-05,9211.89,1658.14,10870.03,MERCHANT_009,True,timing_difference,0.9
INV_0281,2026-08-15,98177.82,17672.01,115849.83,MERCHANT_008,True,none,1.0
INV_0282,2026-08-05,10994.55,1979.02,12973.57,MERCHANT_008,True,none,1.0
INV_0283,2026-08-10,24151.14,4347.21,28498.35,MERCHANT_004,True,none,1.0
INV_0284,2026-08-11,93670.24,16860.64,110530.88,MERCHANT_009,True,timing_difference,0.9
INV_0285,2026-08-09,8478.97,1526.21,10005.18,MERCHANT_004,True,timing_difference,0.9
INV_0286,2026-08-21,36532.85,6575.91,43108.76,MERCHANT_002,True,timing_difference,0.9
INV_0287,2026-08-15,89990.56,16198.3,106188.86,MERCHANT_007,True,timing_difference,0.9
